,상호,주소,전화번호
400,경남창원시봉곡점,경남창원시의창구봉곡로56,055-277-4495
401,경남창원시북면온천점,경남창원시의창구북면천주로1165번길21,055-298-8899
402,경남창원시사파점,경남창원시성산구동산로194,055-267-8001
403,경남창원시상남점,경남창원시성산구토월로80,055-282-1157
404,경남창원시석전점,경남창원시마산회원구석전남8길59,055-255-4492
405,경남창원시소답점,경남창원시의창구읍성로17번길8,055-251-4479
406,경남창원시양덕1호점,경남창원시마산회원구양덕북10길8,055-251-4492
407,경남창원시용원점,경남창원시진해구안골로348,055-552-4492
408,경남창원시월영점,경남창원시마산합포구월영북로21,055-247-4482
409,경남창원시중앙여좌점,경남창원시진해구편백로14번길12-1,055-542-9942
410,경남창원시진동점,경남창원시마산합포구진동면삼진의거대로639,055-271-9444
411,경남창원시창동점,경남창원시마산합포구남성로130-1,055-222-4492
412,경남창원시팔용점,경남창원시의창구남산로251층,055-297-4491
413,경남창원시풍호점,경남창원시진해구풍호로61,055-547-4492
414,경남창원시합성1호점,경남창원시마산회원구합성동6길13,055-255-4479
415,경남창원시회원점,경남창원시마산회원구북성로166,055-248-1794
416,경남창원시NC다이노스점,경남창원시마산회원구삼호로63,-
417,경남통영시도남점,경남통영시서송정1길32-3,055-645-6737
418,경남통영시북신점,경남통영시북신동해미당화목토길화목토0,055-642-5592
419,경남통영시죽림점,경남통영시광도면죽림3로43-11,055-649-4479
420,경남하동군하동점,경남하동군하동읍중앙로18,055-884-4431
421,경남함안군군북점,경남함안군군북면중암7길12,055-584-9289
422,경남함안군함안점,경남함안군가야읍함안대로555,055-585-9289
423,경남함양군서하점,경남함양군서하면함양남서로3938,055-963-9266
424,경남함양군함양점,경남함양군함양읍용평길8,055-963-6446
425,경남합천군합천점,경남합천군합천읍충효로98-17,055-932-0015
426,경북경산시계양사동점,경북경산시계양로8길38,053-802-4482
427,경북경산시서부백천점,경북경산시경산로28부영2차아파트상가103호,053-801-9900
428,경북경산시영대점,경북경산시대학로61길6-5,053-818-8992
429,경북경산시옥산정평점,경북경산시대학로16길31,053-812-6636
430,경북경산시진량점,경북경산시진량읍영청길15,053-857-9995
431,경북경산시하양점,경북경산시하양읍하양역길18,053-853-4479
432,경북경주시강동점,경북경주시강동면동해대로166-11,054-762-4479
433,경북경주시건천점,경북경주시건천읍대곡용명길24,054-751-4479
434,경북경주시금장점,경북경주시현곡면안현로68-3,054-743-4479
435,경북경주시내남점,경북경주시내남면이조중앙길13-1,054-748-4479
436,경북경주시동천점,경북경주시동천로30번길14-2,054-775-9973
437,경북경주시성건점,경북경주시금성로396번길5,054-774-9901
438,경북경주시안강점,경북경주시안강읍구부랑길42,054-761-8999
439,경북경주시외동점,경북경주시외동읍입실로1길58,054-741-4479
440,경북경주시충효점,경북경주시충효녹지길36-6,054-776-4479
441,경북경주시황성점,경북경주시황성로69번길38-6,054-776-5770
442,경북고령군고령점,경북고령군고령읍시장1길11,054-954-4479
443,경북구미시고아점,경북구미시고아읍선산대로676,054-458-4482
444,경북구미시공단비산점,경상북도구미시비산로5길28,054-463-5066
445,경북구미시봉곡도량점,경북구미시도봉로3길3-3,054-443-4482
446,경북구미시상모사곡점,경북구미시상사서로12길3,054-465-4479
447,경북구미시선산점,경북구미시선산읍남문로3길17,054-481-9191
448,경북구미시송정원평점,경북구미시금오산로22길15-14,054-443-4479
449,경북구미시신평점,경상북도구미시신비로26,054-463-4479
450,경북구미시옥계점,경북구미시산호대로25길26-3,054-471-4490
451,경북구미시원호도량1동점,경북구미시고아읍문장로22길20103호,054-444-8244
452,경북구미시인동점,경북구미시인동39길22-65,054-474-4478
453,경북구미시임수황상점,경북구미시인동북길25,054-471-7227
454,경북구미시형곡점,경북구미시형곡로90,054-442-9979
455,경북김천시김천1점,경북김천시김천로24-1,054-430-4482
456,경북김천시덕곡율곡점,경북김천시영남대로2040-6,054-434-4470
457,경북김천시신음삼락점,경북김천시시청로40,054-437-4479
458,경북김천시아포점,경북김천시아포읍한지2길64-4,054-436-4492
459,경북문경시문경점,경북문경시점촌로8,054-555-8858
460,경북봉화군봉화점,경북봉화군봉화읍내성로1길41-1,054-673-4420
461,경북상주시상주2호점,경북상주시동수4길33제상가동101호,054-533-4423
462,경북상주시함창점,경북상주시함창읍함창시장2길2,054-541-4479
463,경북안동시안동점,경북안동시서동문로86,054-858-9930
464,경북안동시옥동송현점,경북안동시광명로126,054-855-4479
465,경북안동시용상점,경북안동시경동로889,054-821-9901
466,경북영덕군영덕점,경북영덕군영덕읍군청길133,054-733-0054
467,경북영덕군영해점,경북영덕군영해면예주시장길16-1,054-734-3553
468,경북영주시영주2점,경북영주시구성로389로얄상가111호,054-636-9994
469,경북영주시풍기점,경북영주시풍기읍동성로68,054-638-9288
470,경북영주시휴천점,경북영주시대학로36,054-636-8787
471,경북영천시야사점,경북영천시망정로60,054-333-3733
472,경북예천시예천점,경북예천군예천읍중앙로24-1,054-654-4492
473,경북울진군백암점,경북울진군온정면소태로9-29,054-787-4004
474,경북울진군북면점,경북울진군북면울진북로2120,054-781-4246
475,경북울진군울진점,경북울진군울진읍울진중앙로56,054-781-6363
476,경북울진군죽변점,경북울진군죽변면죽변북로60,054-781-4482
477,경북울진군후포점,경북울진군후포면삼율6길16-14,054-788-9982
478,경북의성군의성점,경상북도의성군의성읍동서1길72,054-834-4482
479,경북청도군청도점,경북청도군청도읍청화로150-1,054-373-4469
480,경북칠곡군오태북삼점,경북칠곡군북삼읍금오대로10길19,054-972-4423
481,경북칠곡군왜관점,경북칠곡군왜관읍중앙로3길2-1,054-972-8066
482,경북칠곡군중리점,경북칠곡군석적읍북중리11길14,054-976-1009
483,경북포항시남부점,경북포항시남구상도로56,054-278-9982
484,경북포항시달전점,경북포항시북구흥해읍도음로877번길9,054-262-8201
485,경북포항시대이점,경북포항시남구대이로112-3,054-275-5052
486,경북포항시두호점,경북포항시북구삼호로245번길10,054-251-8582
487,경북포항시송도점,경북포항시남구송림로8,054-242-8544
488,경북포항시양덕점,경북포항시북구양덕로23,054-255-4482
489,경북포항시연일점,경북포항시남구연일읍철강로41번길52-6,054-286-4447
490,경북포항시오천점,경북포항시남구오천읍남원로53,054-291-9922
491,경북포항시용흥점,경북포항시북구새마을로92,054-254-4482
492,경북포항시우현점,경북포항시북구선착로3-1,054-255-9955
493,경북포항시장성점,경북포항시북구법원로8번길16,054-243-2999
494,경북포항시죽도점,경북포항시북구중흥로255번길13,054-278-0454
495,경북포항시청하점,경북포항시북구청하면청하로217번길2,054-232-1535
496,경북포항시해도점[B],경북포항시남구해동로55-1,054-281-4492
497,경북포항시효곡점,경북포항시남구효자동길10번길19,054-282-9982
498,경북포항시흥해점,경북포항시북구흥해읍흥해로26,054-261-9979
499,광주광산구산정점,광주광산구하남대로54번안길59,062-951-4479
500,광주광산구선운점,광주광산구선운중앙로43,062-941-4492
501,광주광산구송정1점,광주광산구남동길30번길48,062-945-4492
502,광주광산구수완1점,광주광산구장덕로95번길45,062-959-9929
503,광주광산구신가점,광주광산구신창로35번길87,062-955-9289
504,광주광산구우산소촌점,광주광산구우산로96번길78,062-941-9940
505,광주광산구운남점,광주광산구월곡로30-1,062-952-9994
506,광주광산구첨단1호점,광주광산구산월로64,062-974-4492
507,광주남구방림양림점,광주남구방림로2,062-655-4492
508,광주남구봉선1점,광주남구봉선1로66,062-652-4492
509,광주남구월산까치점,광주남구독립로87,062-365-8299
510,광주남구주월점,광주남구회서로15,062-651-4492
511,광주남구진월점,광주남구서문대로663번길16,062-674-4492
512,광주남구효천점,광주남구효우로230번길35,062-671-4492
513,광주동구산수점,광주동구필문대로179,062-222-5992
514,광주동구학동점,광주동구천변우로603,062-222-4492
515,광주북구동림점,광주북구동림용산로29,062-513-9995
516,광주북구두암1점,광주북구삼정로139,062-251-4492
517,광주북구문흥점,광주북구면앙로32번길29,062-252-4492
518,광주북구양산점,광주북구양산택지로79번길15,062-576-9995
519,광주북구오치매곡점,광주북구안산로70,062-269-9988
520,광주북구용봉점,광주북구설죽로202번길52,062-522-4492
521,광주북구일곡점,광주북구송해로34,062-575-4492
522,광주북구중흥점,광주북구당뫼로57,062-524-9992
523,광주북구첨단2지구점,광주북구임방울대로1042번길14-20,062-576-4492
524,광주서구금호점,광주서구금화로73번길16,062-383-9935
525,광주서구동천점,광주서구동천로10번길24,062-512-4492
526,광주서구상무점,광주서구상무평화로102,062-383-4492
527,광주서구쌍촌1점,광주서구상일로24번길11,062-382-4492
528,광주서구풍암점,광주서구풍암신암로26,062-655-9982
529,광주서구화정1점,광주서구염화로57번길20,062-375-4492
530,대구남구대명2점,대구남구성당시장길59,053-654-9984
531,대구남구대명남산점,대구남구명덕로28길12,053-621-9282
532,대구남구봉덕점,대구남구중앙대로22길221,053-475-4479
533,대구달서구대곡역점,대구달서구비슬로538길22,053-638-4479
534,대구달서구대곡진천점[B],대구달서구한실로117,053-633-4479
535,대구달서구두류광장점,대구달서구야외음악당로39안길48,053-652-4482
536,대구달서구상인점,대구달서구상인로9길26,053-635-6611
537,대구달서구성당점[B],대구달서구감삼남길171,053-555-9282
538,대구달서구성서점,대구달서구선원로37길16,053-593-9982
539,대구달서구송현점,대구달서구월배로74길39,053-626-9994
540,대구달서구신당점,대구달서구신당로24,053-592-4485
541,대구달서구신월배점,대구달서구조암남로27길30,053-633-9282
542,대구달서구용산1점,대구달서구와룡로53길78,053-523-4482
543,대구달서구이월드점,대구달서구두류공원로200,-
544,대구달서구장기점,대구달서구구마로12길14,053-522-8890
545,대구달성군구지점,대구달성군구지면창리중앙길97,053-611-4462
546,대구달성군논공점,대구달성군논공읍논공중앙로118,053-615-4482
547,대구달성군다사점,대구달성군다사읍대실역북로55,053-593-4482
548,대구달성군서재점,대구달성군다사읍서재로99-1,053-587-4479
549,대구달성군옥포점,대구달성군옥포면돌미로2길1,053-611-4482
550,대구달성군현풍점,대구달성군현풍면테크노중앙대로325-49,053-611-4446
551,대구달성군화원점,대구달성군화원읍화암로65,053-644-9985
552,대구동구동호점,대구동구동호로40,053-963-4482
553,대구동구방촌점,대구동구동촌로58길21,053-981-9050
554,대구동구불로봉무점,대구동구팔공로51길23,053-958-8200
555,대구동구신암동점,대구광역시동구신암로132,053-944-4479
556,대구동구신천동점,대구동구국채보상로861,053-754-4479
557,대구동구율하점,대구동구율하동로8길25,053-965-4479
558,대구동구효목점,대구동구효목로103,053-954-9982
559,대구북구고성동점,대구북구옥산로9,053-355-4479
560,대구북구관음읍내동점,대구북구칠곡중앙대로95길11,053-323-4479
561,대구북구동서변점,대구북구서변로26,053-944-9282
562,대구북구만평점,대구서구서대구로62길51,053-356-4113
563,대구북구사수금호점,대구북구한강로17,053-325-4479
564,대구북구산격점,대구북구동북로36길17-2,053-942-4479
565,대구북구칠곡1점,대구북구대천로17길14,053-323-9980
566,대구북구칠성점,대구북구칠성로88,053-341-0044
567,대구북구태전점[B],대구북구구암로16길7,053-321-4479
568,대구서구내당대신동점,대구서구달서로12길28,053-567-4479
569,대구서구평리점,대구서구국채보상로192,053-552-4499
570,대구수성구범물점,대구수성구지범로290,053-784-4479
571,대구수성구범어점,대구수성구범어로20길13,053-755-9282
572,대구수성구상동점,대구수성구수성로15길34,053-768-4479
573,대구수성구수성점[B],대구수성구신천동로98길24,053-751-4482
574,대구수성구시지1점,대구수성구달구벌대로627길22-25,053-795-9985
575,대구수성구시지사월점,대구수성구달구벌대로669길20,053-793-4479
576,대구수성구지산점,대구수성구용학로35길35,053-784-9966
577,대구수성구황금점,대구수성구청수로36길32,053-768-9282
578,대전대덕구법동점,대전광역시대덕구계족로608번길16,042-622-4479
579,대전대덕구송촌점[B],대전대덕구송촌북로4번길41,042-672-4479
580,대전대덕구신탄진점,대전광역시대덕구신탄진동로1,042-935-9285
581,대전동구가양비래점,대전동구우암로331,042-623-9233
582,대전동구가오점,대전광역시동구은어송로116,042-282-4479
583,대전동구용운판암점,대전동구동부로73번길135,042-271-4479
584,대전동구우송대점,대전광역시동구동대전로213,042-636-4479
585,대전동구한남대막시무스점,대전광역시동구옛신탄진로93번길27,042-627-4479
586,대전서구가장내동점,대전광역시서구도산로253번길33,042-532-4479
587,대전서구갈마점,대전광역시서구계룡로500번길86,042-526-9249
588,대전서구도마점,대전광역시서구사마1길28,042-535-4479
589,대전서구도안신도시점,대전광역시서구도안북로118번길81,042-353-4479
590,대전서구둔산점,대전광역시서구둔산남로165번길16,042-483-9292
591,대전서구만년점,대전광역시서구만년남로11번길42,042-482-9582
592,대전서구월평점,대전광역시서구월평중로24번길30,042-485-4479
593,대전서구탄방점,대전광역시서구문정로2번길51,042-472-4479
594,대전서구행복점,대전서구정림서로162-18,042-585-9233
595,대전유성구궁동어은점[B],대전유성구농대로8,042-861-4479
596,대전유성구노은점,대전광역시유성구반석로12번길25,042-823-9286
597,대전유성구봉명구암점,대전광역시유성구대학로34,042-321-4482
598,대전유성구송강봉산점,대전광역시유성구봉산로32,042-935-4492
599,대전유성구신성자운점,대전광역시유성구가정로43,042-862-9982
600,대전유성구원내점,대전광역시유성구진잠로78번길56,042-543-4479
601,대전유성구전민점,대전광역시유성구전민로6번길27,042-864-4479
602,대전유성구테크노점,대전유성구관들5길47,042-934-4479
603,대전유성구학하덕명점,대전광역시유성구학하남로3,042-826-4479
604,대전중구문화점,대전중구보문산로171번길39,042-584-6600
605,대전중구부사점,대전광역시중구보문로92,042-242-4479
606,대전중구중촌목동점,대전광역시중구목동로8번길77,042-383-4479
607,대전중구태평점,대전중구태평로118-1,042-527-9982
608,부산강서구강서구청점,부산강서구대저로274번길35,051-831-4492
609,부산강서구명지국제신도시점,부산강서구명지국제8로234정우빌딩2차115,051-271-4479
610,부산강서구명지오션시티점,부산강서구명지오션시티9로58,051-204-4492
611,부산금정구구서1점,부산금정구구서2동203-32,051-582-4482
612,부산금정구남산점,부산금정구남산동188-6,051-518-4492
613,부산금정구부곡1점,부산금정구부곡동19-9,051-582-8272
614,부산금정구부곡행복점,부산금정구부곡로64,051-516-4445
615,부산금정구부산대점,부산금정구장전동221-24,051-514-9985
616,부산금정구서동점,부산금정구서동542-35,051-521-4492
617,부산기장군기장점,부산기장군기장읍대라리413-4,051-721-9909
618,부산기장군정관점,부산기장군정관면매학리767-4,051-728-4492
619,부산남구감만점,부산남구석포로51,051-632-4479
620,부산남구대연못골점,부산남구진남로36번길58,051-625-4492
621,부산남구대연점,부산남구유엔로183번길35,051-612-4482
622,부산남구문현점,부산남구문현3동202-55번지,051-632-4492
623,부산남구용호점,부산남구용호동181-1현대비치상가1동103호,051-623-4492
624,부산남구용호행복점,부산남구동명로158번길104,051-623-4479
625,부산동구범일점,부산동구자성로116번길2,051-638-4479
626,부산동구초량점,부산광역시동구초량상로65,051-441-1466
627,부산동래구명장점,부산동래구명안로86번길30,051-525-4482
628,부산동래구사직1점,부산동래구사직동45-33번지,051-502-4485
629,부산동래구수안낙민점,부산동래구명륜로75번길31,051-555-4492
630,부산동래구안락1점,부산동래구안락동629-76,051-532-4492
631,부산동래구온천3동점,부산동래구충렬대로126번길19,051-504-4492
632,부산동래구온천점,부산동래구차밭골로27,051-552-4482
633,부산부산진구가야개금1점,부산부산진구냉정로262-1,051-892-8866
634,부산부산진구가야당감점,부산부산진구가야대로633,051-897-4492
635,부산부산진구당감부암1점,부산부산진구당감4동702-1,051-892-8292
636,부산부산진구범천점,부산부산진구신암로66판매시설동106호,051-636-4479
637,부산부산진구신개금점,부산부산진구개금3동380-1,051-892-4492
638,부산부산진구양정점,부산부산진구범전동63-6,051-804-9282
639,부산부산진구전포점,부산부산진구동성로35,051-817-4482
640,부산부산진구초읍연지점,부산부산진구초읍동207-18,051-818-4492
641,부산북구구포1점,부산북구시랑로32,051-335-9944
642,부산북구금곡점,부산북구금곡동67-12,051-362-2002
643,부산북구덕천점,부산북구덕천2길45,051-342-6900
644,부산북구만덕점,부산북구만덕동839-1동원맨션상가7동103호,051-333-8686
645,부산북구화명2점,부산북구화명동2316-9번지102호,051-365-4492
646,부산사상구괘법점,부산사상구괘법동519-1강변동원아파트상가107동102호,051-311-4479
647,부산사상구모덕점,부산광역시사상구사상로342번길12,051-301-4479
648,부산사상구모라1점,부산사상구백양대로960-1,051-312-4492
649,부산사상구신주례점,부산광역시사상구양지로42,051-325-4479
650,부산사상구주례점,부산사상구주례로25,051-328-4492
651,부산사상구학장엄궁점,부산사상구학장동574-57번지삼성2차아파트상가206호,051-311-4492
652,부산사하구괴정1점,부산사하구괴정동563-56,051-202-7992
653,부산사하구괴정행복점,부산사하구사리로4,051-204-4479
654,부산사하구구평감천점,부산사하구구평동105-1,051-262-9994
655,부산사하구다대1점,부산사하구윤공단로14번길33,051-265-9298
656,부산사하구다대2점,부산사하구장림동426번지극동정립아파트상가301호,051-261-9297
657,부산사하구당리점,부산사하구승학로40,051-206-4492
658,부산사하구신평점,부산사하구다대로142번길16,051-201-4479
659,부산사하구하단점[B],부산사하구하단동492-2대우프라자상가B105,051-293-9296
660,부산서구대신점,부산서구망양로28,051-248-5779
661,부산서구부민충무점,부산서구토성동5가42-3,051-241-7949
662,부산수영구광안1점,부산수영구광안동165-6,051-755-4492
663,부산수영구남천점,부산수영구남천동77-25,051-628-4492
664,부산수영구망미점,부산수영구연수로302번길4,051-756-4479
665,부산수영구민락점,부산수영구수영로741번길12,051-758-4479
666,부산연제구거제점,부산연제구월드컵대로187번길23,051-852-4479
667,부산연제구시청점,부산연제구중앙대로1038번길64상가101호,051-868-4494
668,부산연제구연산로타리점,부산연제구거제천로230번길25,051-852-4445
669,부산연제구연산토곡점,부산연제구과정로132번길32,051-755-5636
670,부산영도구남항점,부산영도구남항로24-2,051-416-4479
671,부산영도구동삼점,부산영도구동삼로59번길15,051-403-9972
672,부산영도구청학점,부산영도구태종로332,051-415-4492
673,부산중구중부산점,부산중구대청로25번길4,051-469-9295
674,부산해운대구반송1점,부산해운대구반송2동216-112번지,051-544-8272
675,부산해운대구반여2점,부산해운대구선수촌로153,051-523-4492
676,부산해운대구벡스코점,부산해운대구해운대로383번길25,051-747-4498
677,부산해운대구센텀점,부산해운대구재반로29,051-783-4492
678,부산해운대구송정점,부산해운대구송정해변로8-14,051-703-4492
679,부산해운대구우1점,부산해운대구해운대해변로141,051-731-4414
680,부산해운대구재송반여점,부산해운대구재송2로28번길6,051-781-4479
681,부산해운대구해운대신도시1호점,부산해운대구해운대로774번길30,051-744-4492
682,부산해운대구해운대중동점,부산해운대구좌동순환로468번가길20,051-747-3457
683,부산해운대구해운대행복점,부산해운대구좌동순환로99번길22,051-747-9244
684,서울강남구개포1점,서울특별시강남구개포로25길12,02-2057-9292
685,서울강남구논현1점,서울강남구강남대로126길38,02-512-4482
686,서울강남구도곡점,서울강남구도곡로28길8,02-571-9955
687,서울강남구수서점,서울강남구광평로51길22,02-451-4479
688,서울강남구신사점,서울강남구논현로159길25,02-542-4479
689,서울강남구역삼1점,서울강남구논현로67길48,02-568-4479
690,서울강남구역삼충현점,서울강남구봉은사로26길28,02-566-4479
691,서울강남구일원점,서울특별시강남구일원로5길54,02-3414-9988
692,서울강남구자곡점,서울특별시강남구자곡로202,02-3411-4479
693,서울강남구청담점,서울특별시강남구삼성로145길14,02-542-9991
694,서울강동구강일점,서울특별시강동구아리수로94길19,02-428-0076
695,서울강동구길동1점,서울특별시강동구진황도로47길15,02-486-4492
696,서울강동구길동2점,서울특별시강동구천호대로199길15,02-482-7782
697,서울강동구둔촌점,서울특별시강동구천호대로182길41,02-475-9282
698,서울강동구명일점[B],서울강동구동남로67길22,02-429-4479
699,서울강동구성내1점,서울특별시강동구천호옛14길34,02-472-4472
700,서울강동구암사2점,서울특별시강동구고덕로28길10-5,02-442-4456
701,서울강동구천호1점,서울특별시강동구구천면로284,02-477-5765
702,서울강동구천호2동점,서울특별시강동구올림픽로78길15-4,02-482-4482
703,서울강북구미아점,서울특별시강북구도봉로34길39,02-982-8292
704,서울강북구번동점,서울특별시강북구오현로31길129,02-987-4479
705,서울강북구삼각산점,서울특별시강북구삼양로19길74,02-982-8282
706,서울강북구수유2점,서울강북구삼각산로99,02-905-8899
707,서울강북구수유점,서울특별시강북구삼양로68길12,02-985-0092
708,서울강서구가양1점[B],서울강서구양천로443-32,02-3661-4482
709,서울강서구까치산점,서울강서구강서로12길40,02-2601-4492
710,서울강서구등촌2동점,서울강서구등촌로51가길47,02-2644-6969
711,서울강서구등촌3동점,서울강서구공항대로41길65,02-3661-4492
712,서울강서구방화1점,서울강서구양천로24가길3,02-2662-4472
713,서울강서구방화2점,서울강서구금낭화로26,02-2662-9229
714,서울강서구수명산파크점,서울특별시강서구강서로47길108,02-2667-7792
715,서울강서구염창점,서울강서구양천로637,02-3663-9285
716,서울강서구우장산점,서울강서구우장산로2길7,02-2659-5454
717,서울강서구화곡1동점,서울강서구가로공원로76길95,02-2699-4479
718,서울강서구화곡남부시장점,서울강서구곰달래로53길50,02-2653-4492
719,서울강서구화곡본동점,서울강서구초록마을로2길54,02-2607-5882
720,서울관악구관악구청점,서울특별시관악구쑥고개로93,02-889-4492
721,서울관악구난곡점,서울관악구미성3길8,02-863-8880
722,서울관악구봉천점,서울관악구은천로9길14,02-888-5919
723,서울관악구봉천중앙점,서울특별시관악구남부순환로231길16,02-876-9992
724,서울관악구봉천현대점[B],서울관악구봉천로441,02-882-9277
725,서울관악구신림2점,서울특별시관악구신림로158,02-877-4482
726,서울관악구신림남부점,서울관악구남부순환로143길16,02-838-9288
727,서울관악구신림점,서울특별시관악구문성로215,02-889-4442
728,서울관악구인헌점,서울특별시관악구인헌길58,02-883-9931
729,서울광진구구의3점,서울특별시광진구구의로4길44,02-455-9922
730,서울광진구군자송정점,서울특별시광진구동일로52길15,02-499-4479
731,서울광진구어린이대공원점,서울특별시광진구광나루로521,02-466-6572
732,서울광진구자양2점,서울특별시광진구뚝섬로52가길6,02-454-3336
733,서울광진구자양점,서울특별시광진구능동로10길109,02-452-9200
734,서울광진구중곡1점,서울광진구면목로148,02-468-5592
735,서울광진구중곡2점,서울특별시광진구동일로64길14,02-464-4479
736,서울광진구화양점,서울특별시광진구아차산로21길43,02-462-8887
737,서울구로구개봉점[B],서울구로구개봉로11길34,02-2687-9244
738,서울구로구고척1점,서울구로구경서로45,02-3666-4492
739,서울구로구고척스카이돔점,서울구로구경인로430B-5,02-2688-7721
740,서울구로구구로1점,서울구로구구로동로35길40,02-861-4492
741,서울구로구구로시장점,서울구로구구로동로28길93,02-857-4492
742,서울구로구구로테크노마트점,서울구로구새말로102,02-860-5700
743,서울구로구근린공원점,서울구로구고척로27길115,02-2687-4479
744,서울구로구남구로점,서울구로구도림로12길24,02-865-9222
745,서울구로구신도림점,서울구로구신도림로11길43,02-2677-4492
746,서울구로구오류1점,서울특별시구로구부일로953,02-2689-9288
747,서울구로구오류2점,서울특별시구로구오류로62,02-2689-5545
748,서울금천구가산점,서울특별시금천구가산로3길55,02-856-9244
749,서울금천구금천점,서울금천구은행나무로22,02-805-4492
750,서울금천구독산점,서울금천구남부순환로126길69,02-866-9592
751,서울금천구시흥2점,서울특별시금천구금하로756,02-802-5124
752,서울노원구공릉점,서울특별시노원구공릉로42길21,02-971-9288
753,서울노원구상계1점,서울특별시노원구동일로237다길7,02-952-9288
754,서울노원구상계2점,서울특별시노원구상계로9가길17,02-951-4492
755,서울노원구상계마들점,서울특별시노원구한글비석로54길116,02-934-4479
756,서울노원구상계중앙점,서울노원구덕릉로459-37상계주공1단지가상,02-931-4492
757,서울노원구중계2동점,서울노원구동일로207길18,02-978-4492
758,서울노원구중계4동점,서울특별시노원구덕릉로89길9,02-3392-4479
759,서울노원구중계본동점,서울특별시노원구중계로12가길29,02-934-5559
760,서울노원구하계1점,서울특별시노원구공릉로59가길28,02-976-8292
761,서울도봉구도봉1점,서울특별시도봉구마들로724,02-955-3356
762,서울도봉구도봉산역점,서울도봉구도봉산3길37,02-954-8788
763,서울도봉구방학1점,서울특별시도봉구도당로27길20,02-3491-4479
764,서울도봉구방학2점,서울특별시도봉구방학로117,02-955-4482
765,서울도봉구신창점,서울특별시도봉구덕릉로60길161,02-998-9592
766,서울도봉구쌍문점,서울도봉구노해로38길7,02-900-9912
767,서울도봉구창동점,서울도봉구덕릉로59마길40,02-995-8228
768,서울동대문구신이문점,서울특별시동대문구한천로421-1,02-966-8955
769,서울동대문구용두1호점,서울특별시동대문구정릉천동로58,02-922-3777
770,서울동대문구장안점,서울특별시동대문구장한로14길68,02-2245-1917
771,서울동대문구전농2점,서울특별시동대문구답십리로23길9,02-2241-8292
772,서울동대문구전농점,서울동대문구답십리로51길35,02-3394-9292
773,서울동대문구청량리점,서울특별시동대문구홍릉로50,02-968-0092
774,서울동대문구회기점,서울동대문구회기로25길17-9,02-966-4479
775,서울동대문구휘경1점,서울특별시동대문구한천로244-11,02-2212-6888
776,서울동작구노량진점,서울특별시동작구만양로8길50,02-826-9982
777,서울동작구대방점,서울특별시동작구등용로127,02-815-8292
778,서울동작구사당이수점,서울동작구사당로27길64,02-532-9244
779,서울동작구상도1점,서울특별시동작구상도로50길9,02-824-9244
780,서울동작구상도2호점,서울특별시동작구성대로10길3,02-815-4492
781,서울동작구신대방점,서울특별시동작구여의대방로28,02-833-5444
782,서울동작구중대점,서울특별시동작구흑석로7길6-1,02-815-9282
783,서울동작구총신대점,서울특별시동작구솔밭로106,02-598-4479
784,서울마포구공덕점,서울마포구만리재로86,02-703-4479
785,서울마포구광흥창역점,서울특별시마포구독막로156,02-335-4492
786,서울마포구마포역점,서울특별시마포구새창로52현대아파트상가제12동156호,02-717-4422
787,서울마포구망원점,서울특별시마포구포은로68,02-323-7383
788,서울마포구상암점[B],서울특별시마포구월드컵북로47길46,02-373-4479
789,서울마포구서교점,서울특별시마포구월드컵북로7길11,02-322-7339
790,서울마포구성산점,서울특별시마포구월드컵북로27길19,02-305-9993
791,서울마포구염리점,서울특별시마포구마포대로11길921층,02-714-4479
792,서울마포구홍대역점,서울특별시마포구동교로192,02-334-9254
793,서울서대문구남가좌점,서울특별시서대문구증가로10길5,02-304-4479
794,서울서대문구북가좌2점,서울서대문구증가로211,02-303-4479
795,서울서대문구연대점,서울특별시서대문구연세로7안길7,02-332-4479
796,서울서대문구연희점,서울특별시서대문구연희로90,02-3143-4479
797,서울서대문구이대역점,서울특별시서대문구연세로2길84,02-3272-0036
798,서울서대문구홍은1점,서울특별시서대문구간호대로16,02-391-4492
799,서울서대문구홍제1점,서울특별시서대문구통일로39나길47,02-3216-4450
800,서울서초구반포1점,서울특별시서초구반포대로316,02-532-9291
801,서울서초구반포2점,서울서초구강남대로85길21-8,02-548-7705
802,서울서초구방배1호점,서울특별시서초구방배로27길18-4,02-593-3060
803,서울서초구방배본동점,서울서초구방배중앙로25길24,02-536-4444
804,서울서초구서초1호점,서울서초구효령로77길18,02-588-4443
805,서울서초구서초2점,서울서초구효령로46길14,02-588-7077
806,서울서초구서초중앙점,서울서초구서초중앙로24길55111호,02-3477-7000
807,서울서초구양재점,서울특별시서초구동산로46,02-529-0812
808,서울서초구우면점,서울특별시서초구형촌길15,02-573-2292
809,서울서초구잠원점,서울특별시서초구나루터로68,02-542-5582
810,서울성동구금호점,서울특별시성동구독서당로315-4,02-2299-2272
811,서울성동구성수2가점,서울특별시성동구성덕정길27,02-467-8277
812,서울성동구한양점,서울특별시성동구마조로59,02-2294-9282
813,서울성동구행당1점,서울특별시성동구왕십리로21길25,02-2293-4479
814,서울성북구길음점,서울특별시성북구삼양로12길5,02-953-5100
815,서울성북구동소문점,서울특별시성북구아리랑로5길39,02-923-4492
816,서울성북구보문점,서울특별시성북구보문로47,02-922-0118
817,서울성북구석관점[B],서울특별시성북구한천로76길20,02-960-4492
818,서울성북구성신여대점[B],서울성북구보문로26길83-191층,02-921-4479
